sid,link_name,borough,polyline,link_length_ft,aggregation_period_sec,n_samples,median_calculation_timestamp,median_tt_sec,median_speed_fps
70071,Flatbush Ave - Southbound - Willoughby St to Atlantic Ave,Brooklyn,}tjwFdwpbMtEiB|EqBvD_BnMoIzJqGhCgB,3257.94,900,62,4/5/2026 12:24:14,238.5,13.66
70073,Flatbush Ave - Northbound - Willoughby St to Tillary St,Brooklyn,otjwFvtpbM{H|CkFrB{EfB,1502.13,900,90,4/5/2026 12:24:14,109.0,13.78
71201,Atlantic Avenue - Eastbound - Flatbush Ave to Carlton Ave,Brooklyn,}aiwFvuobMnBaHzBuRdBiL,1965.26,900,97,4/5/2026 12:24:14,52.0,37.79
73070,Flatbush Ave - Southbound - Tillary St to Willoughby St,Brooklyn,gmkwFncqbMlF{B~EoBfIeD,1544.57,900,2,4/5/2026 12:24:14,1351.0,1.14
74062,Hylan Blvd - Southbound - Midland Ave to New Dorp Ln,Staten Island,qktvF`chcMdHvGdDjDjCjCrBnBpBtBrBtBlBlBhBjBhBjBlBrBtBnB,3425.55,900,77,4/5/2026 12:24:14,174.0,19.69
74063,Hylan Blvd @ Midland Ave to Father Capodanno Blvd @ Seaview Ave via Midland Ave,Staten Island,yjtvFrbhcM|BkFdE_DbA{ArAyC|CeH`AqB|CcH|CcH`DeH|CcHjBoEaIsHi@s@wAsCu@{AcAqBsEmJcEqIyAyCwDaIiDcHu@iA{EsF,8988.5,900,8,4/5/2026 12:24:14,1298.0,6.92
74066,Hylan Blvd - Northbound - Midland Ave to Seaview Ave,Staten Island,yjtvFtahcMmCcCgBsBgBmCmE_GeB}BuBqCqFqHuBuCqBkCmBmCcB{BgC}C{CgC,4305.32,900,37,4/5/2026 12:24:14,153.0,28.14
75079,10th Avenue - Northbound - 14th St to 23rd St,Manhattan,cmtwFjvubMaAo@WE}^kV,2313.62,900,14,4/5/2026 12:24:14,81.5,28.39
77058,57th Street - Eastbound - 10th Ave (Amsterdam Ave) to 9th Ave (Columbus Ave),Manhattan,ouywFx{qbMnFwP,898.53,900,14,4/5/2026 12:24:14,45.5,19.75
77081,57th Street - Westbound - 10th Ave (Amsterdam Ave) to 11th Ave,Manhattan,kvywFd{qbMqFvP,900.3,900,10,4/5/2026 12:24:14,42.0,21.44
78108,34th Street - Westbound - 10th Ave to 11th Ave,Manhattan,c|vwF`}sbMgFxP,894.08,900,9,4/5/2026 12:24:14,116.0,7.71
80109,42nd Street - Eastbound - 11th Ave to 10th Ave,Manhattan,maxwFbysbMhF{P,898.19,900,3,4/5/2026 12:24:14,109.0,8.24
81077,57th Street - Eastbound - 11th Ave to 10th Ave (Amsterdam Ave),Manhattan,_}ywFrmrbMnFyP,900.93,900,3,4/5/2026 12:24:14,175.0,5.15
81116,11th Avenue - Southbound - 57th St to 49th St,Manhattan,k}ywFhmrbMn^dV,2105.09,900,56,4/5/2026 12:24:14,81.5,25.83
84066,Hylan Blvd - Southbound - Narrows Rd South (West) to Seaview Ave,Staten Island,qwyvFfjccMhCAfFy@bIgD~Dq@zF`CjCrCnBvBQtDIdJ@l@N~ARbA|@|CfBrG`@tAh@x@z@z@bAh@xAd@t@Tb@H`IbCdK~ClCdAjCzBdMlKnKbJ,9165.86,900,38,4/5/2026 12:24:14,330.5,27.73
85077,10th Avenue - Northbound - 49th St to 57th St,Manhattan,ivxwFprrbMu^aV,2111.99,900,68,4/5/2026 12:24:14,108.5,19.47
