"sid","link_name","borough","polyline","link_length_ft","aggregation_period_sec","n_samples","median_calculation_timestamp","median_tt_sec","median_speed_fps"
"062074","Hylan Blvd - Northbound - New Dorp Ln to Midland Ave","Staten Island","a|rvFdpicMqBqByEwEkBoBoBeBmByByCuCkBoBsBuBgDmDuCiCkCcC","3425.74","900","105","3/16/2026 16:15:01","167","20.51"
"063074","Father Capodanno Blvd @ Seaview Ave to Hyland Blvd @ Midland Ave via Midland Ave","Staten Island","wstvF~iccMlFlGhEhItD`I~GhNlB`EtErJ|AzCn@z@rArArBjBjB`BuAzCoApC_DbH_DdHoArC}C`H_ArBgGfNc@l@_@`@gDzBcCrF","8868.3","900","33","3/16/2026 16:15:01","370","23.97"
"066067","Hylan Blvd - Northbound -  Seaview Ave to Narrows Rd South Via Steuben St","Staten Island","o`vvFfbfcMgFuFyJaIaIgHiPeGmKgD_EgAwAgBqEqPFcS{EsH{HoDeFz@{ClAqMaA","9054.74","900","5","3/16/2026 16:15:01","505","17.93"
"066128","Hylan Blvd - Northbound - Seaview Ave to Fingerboard Rd West","Staten Island","aavvFpafcM}XaV}BgBaDuAa]wKmBqCcEgQA}FRyJRkGrCcLJcCMqB}@gCeAaBcCaB","8346.72","900","2","3/16/2026 16:15:01","379","22.02"
"067068","Narrows Rd South - Eastbound - Hylan Blvd to Fingerboard Rd","Staten Island","ewyvFfbccMj@aLxBkOxE{O","2190.4","900","3","3/16/2026 16:15:01","59","37.13"
"070071","Flatbush Ave - Southbound - Willoughby St to Atlantic Ave","Brooklyn","}tjwFdwpbMtEiB|EqBvD_BnMoIzJqGhCgB","3257.94","900","100","3/16/2026 16:15:01","344.5","9.46"
"071070","Flatbush Ave - Northbound - Atlantic Ave to Willoughvy St","Brooklyn","waiwFntobMwDfCk@ZaIlFcLhHaFvBiLpE","3291.08","900","86","3/16/2026 16:15:01","384.5","8.56"
"071201","Atlantic Avenue - Eastbound - Flatbush Ave to Carlton Ave","Brooklyn","}aiwFvuobMnBaHzBuRdBiL","1965.26","900","110","3/16/2026 16:15:01","131","15"
"074062","Hylan Blvd - Southbound - Midland Ave to New Dorp Ln","Staten Island","qktvF`chcMdHvGdDjDjCjCrBnBpBtBrBtBlBlBhBjBhBjBlBrBtBnB","3425.55","900","73","3/16/2026 16:15:01","448","7.65"
"074063","Hylan Blvd @ Midland Ave to Father Capodanno Blvd @ Seaview Ave via Midland Ave","Staten Island","yjtvFrbhcM|BkFdE_DbA{ArAyC|CeH`AqB|CcH|CcH`DeH|CcHjBoEaIsHi@s@wAsCu@{AcAqBsEmJcEqIyAyCwDaIiDcHu@iA{EsF","8988.5","900","12","3/16/2026 16:15:01","286","31.43"
"074066","Hylan Blvd - Northbound - Midland Ave to Seaview Ave","Staten Island","yjtvFtahcMmCcCgBsBgBmCmE_GeB}BuBqCqFqHuBuCqBkCmBmCcB{BgC}C{CgC","4305.32","900","17","3/16/2026 16:15:01","261","16.5"
"075079","10th Avenue - Northbound - 14th St to 23rd St","Manhattan","cmtwFjvubMaAo@WE}^kV","2313.62","900","12","3/16/2026 16:15:01","120","19.28"
"077058","57th Street - Eastbound - 10th Ave (Amsterdam Ave) to 9th Ave (Columbus Ave)","Manhattan","ouywFx{qbMnFwP","898.53","900","5","3/16/2026 16:15:01","56","16.05"
"077081","57th Street - Westbound - 10th Ave (Amsterdam Ave) to 11th Ave","Manhattan","kvywFd{qbMqFvP","900.3","900","11","3/16/2026 16:15:01","39","23.08"
"078108","34th Street - Westbound - 10th Ave to 11th Ave","Manhattan","c|vwF`}sbMgFxP","894.08","900","13","3/16/2026 16:15:01","128","6.98"
"078109","10th Avenue - Northbound - 34th St to 42nd St","Manhattan","a{vwFv}sbMu^}U","2109.4","900","2","3/16/2026 16:15:01","114","18.5"
"080109","42nd Street - Eastbound - 11th Ave to 10th Ave","Manhattan","maxwFbysbMhF{P","898.19","900","3","3/16/2026 16:15:01","188","4.78"
"081077","57th Street - Eastbound - 11th Ave to 10th Ave (Amsterdam Ave)","Manhattan","_}ywFrmrbMnFyP","900.93","900","4","3/16/2026 16:15:01","112","8.04"
"081116","11th Avenue - Southbound - 57th St to 49th St","Manhattan","k}ywFhmrbMn^dV","2105.09","900","61","3/16/2026 16:15:01","84","25.06"
"085077","10th Avenue - Northbound - 49th St to 57th St","Manhattan","ivxwFprrbMu^aV","2111.99","900","64","3/16/2026 16:15:01","129","16.37"
"085116","49th Street - Westbound - 10th Ave to 11th Ave","Manhattan","kvxwFprrbMoFzP","903.4","900","39","3/16/2026 16:15:01","32","28.23"
