"sid","link_name","borough","polyline","link_length_ft","aggregation_period_sec","n_samples","median_calculation_timestamp","median_tt_sec","median_speed_fps"
"081077","57th Street - Eastbound - 11th Ave to 10th Ave (Amsterdam Ave)","Manhattan","_}ywFrmrbMnFyP","900.93","900","2","3/15/2026 12:40:12","453","1.99"
"081116","11th Avenue - Southbound - 57th St to 49th St","Manhattan","k}ywFhmrbMn^dV","2105.09","900","85","3/15/2026 12:40:12","75","28.07"
"084066","Hylan Blvd - Southbound - Narrows Rd South (West) to Seaview Ave","Staten Island","qwyvFfjccMhCAfFy@bIgD~Dq@zF`CjCrCnBvBQtDIdJ@l@N~ARbA|@|CfBrG`@tAh@x@z@z@bAh@xAd@t@Tb@H`IbCdK~ClCdAjCzBdMlKnKbJ","9165.86","900","2","3/15/2026 12:40:12","815","11.25"
"085077","10th Avenue - Northbound - 49th St to 57th St","Manhattan","ivxwFprrbMu^aV","2111.99","900","57","3/15/2026 12:40:12","140","15.09"
"085116","49th Street - Westbound - 10th Ave to 11th Ave","Manhattan","kvxwFprrbMoFzP","903.4","900","49","3/15/2026 12:40:12","124","7.29"
"087088","Cross Bay Blvd - Southbound - Rockaway Blvd to 156th Ave","Queens","smhwFrxuaMrAFhASx@SxDc@nC_@nFeAbDm@fCo@dDQzCJ`B@|EKlCa@~KwBpJiBdJsAjCg@dDc@","6156.07","900","40","3/15/2026 12:40:12","350.5","17.56"
"088087","Cross Bay Blvd - Northbound - 156th Ave to Rockaway Blvd","Queens","afewF~`uaMmJ~AkFx@aFv@cP|CuEj@{EVoGSsCR}GrAcGtAsIz@mBd@gAD","6115.42","900","33","3/15/2026 12:40:12","334","18.31"
"091092","Cross Bay Blvd - Southbound - W 6th Rd to W 20th Rd","Queens","iqzvF~xpaMdCPpFd@xFf@lCR|Gh@lGl@nCTpGh@xK|@","3951.99","900","42","3/15/2026 12:40:12","148.5","26.61"
"092144","Cross Bay Blvd - Southbound - 20 Rd to Beach Channel Dr @ Beach 116 St","Queens","_nxvF`cqaM`M~@bg@wIrLQ`Ah@pCfFz@hBdFhV`CzL`ClMXbGJdA~BrNnHp\","9819.22","900","18","3/15/2026 12:40:12","703","13.97"
"093094","Ocean Pkwy - Southbound - Kings Hwy to Avenue U","Brooklyn","axyvFpumbMtR}B`\mD","2875.74","900","8","3/15/2026 12:40:12","183.5","15.67"
"093113","Ocean Pkwy - Northbound - Kings Hwy to Avenue I","Brooklyn","iyyvFxqmbM{`CfW","7656.58","900","113","3/15/2026 12:40:12","380","20.15"
"094093","Ocean Pkwy - Northbound - Avenue U to Kings Hwy","Brooklyn","ogxvFhjmbMcMvAab@nE","2900.21","900","135","3/15/2026 12:40:12","199","14.57"
"094098","Ocean Pkwy - Southbound - Avenue U to Avenue X","Brooklyn","kgxvFdlmbMd[gDzL~A","2482.41","900","7","3/15/2026 12:40:12","162","15.32"
"095170","Woodhaven Blvd - Northbound - Furmanville Ave to Dry Harbor Rd","Queens","gepwF~yyaMuMlL}I~HiTbI","3142.13","900","121","3/15/2026 12:40:12","137","22.94"
"097099","Woodhaven Blvd - Southbound - Union Turnpike to Myrtle Ave","Queens","qhmwFbnxaMtEkH|BcEn@m@`Ee@","1390.94","900","97","3/15/2026 12:40:12","40","34.77"
"098094","Ocean Pkwy - Northbound - Avenue X to Avenue U","Brooklyn","u}vvFvfmbM{L{AsEf@oT`C","2478.31","900","105","3/15/2026 12:40:12","129","19.21"
"098100","Ocean Pkwy - Southbound - Avenue X to Shore Pkwy","Brooklyn","k}vvFzimbMbMpCtL`A`L~A","2427.04","900","79","3/15/2026 12:40:12","105","23.11"
"100098","Ocean Pkwy - Northbound - Shore Pkwy to Avenue X","Brooklyn","qtuvFjpmbMkLcB}LeB{LeB","2440.72","900","6","3/15/2026 12:40:12","1179","2.07"
"100115","Ocean Pkwy - Southbound - Shore Pkwy to Sea Breeze Ave","Brooklyn","ktuvFhtmbM~q@tJrEx@","3416.59","900","16","3/15/2026 12:40:12","137","24.94"
"102103","34th Street - Westbound - 1st Ave to 2nd Ave","Manhattan","gxtwF~|nbMgEtM","744.96","900","2","3/15/2026 12:40:12","108","6.9"
"103020","34th Street - Westbound - 2nd Ave to 3rd Ave","Manhattan","e~twF~kobM{D|L","705.32","900","25","3/15/2026 12:40:12","85","8.3"
"103105","2nd Avenue - Southbound - 34th St to 23rd St","Manhattan","u}twFhlobM`j@l^","2872.45","900","25","3/15/2026 12:40:12","182","15.78"
"105045","23rd Street - Eastbound - 2nd Ave to 1st Ave","Manhattan","erswFblpbMfEyM","749.85","900","9","3/15/2026 12:40:12","204","3.68"
"106050","23rd Street - Westbound - 7th Ave to 8th Ave","Manhattan","gztwFlgsbMoFnP","889.13","900","2","3/15/2026 12:40:12","282","3.15"
"106107","7th Avenue - Southbound - 23rd St to 14th St","Manhattan","oytwF|gsbMta@bX","2309.57","900","28","3/15/2026 12:40:12","95.5","24.18"
"107083","14th Street – eastbound – 7th Avenue to Union Sqr. East / Broadway","Manhattan","{vswFratbMxVuw@","2869.41","900","2","3/15/2026 12:40:12","176","16.3"
"108078","34th Street - Eastbound - 11th Ave to 10th Ave","Manhattan","{awwFzotbMfFwP","891.65","900","3","3/15/2026 12:40:12","27","33.02"
"109049","42nd Street - Eastbound - 10th Ave to 9th Ave","Manhattan","{ywwFjgsbMhF}P","900.64","900","4","3/15/2026 12:40:12","559","1.61"
"109080","42nd Street - Westbound - 10th Ave to 11th Ave","Manhattan","q{wwFffsbMoFpP","891.38","900","14","3/15/2026 12:40:12","39.5","22.57"
"109085","10th Avenue - Northbound - 42nd St to 49th St","Manhattan","uzwwFxfsbMsZgS","1844.34","900","44","3/15/2026 12:40:12","129.5","14.24"
"111113","Ocean Pkwy - Southbound - Ditmas Ave to Avenue I","Brooklyn","ov_wFj{nbMvz@wJ","3526.24","900","157","3/15/2026 12:40:12","200","17.63"
"112111","Ocean Pkwy - Southbound - Church Ave to Ditmas Ave","Brooklyn","qlawFteobM`u@sI","3190.53","900","180","3/15/2026 12:40:12","163","19.57"
